replicate,resampling_unit,n,prevalence,precision,recall,f1,pr_auc,mcc,fpr,tp,fp,tn,fn,predicted_positive,threshold
113,block_id,2000,0.0145,0.8787878787878788,1.0,0.9354838709677419,0.901520770715121,0.9364851537608532,0.0020294266869609334,29,4,1967,0,33,1.2729429339548877
114,block_id,2000,0.017,0.8095238095238095,1.0,0.8947368421052632,0.8550440644093896,0.897902953928349,0.004069175991861648,34,8,1958,0,42,1.2729429339548877
115,block_id,2000,0.014,0.8235294117647058,1.0,0.9032258064516129,0.8065953654188946,0.906103605656258,0.0030425963488843813,28,6,1966,0,34,1.2729429339548877
116,block_id,2000,0.013,0.8125,1.0,0.896551724137931,0.8700404827482833,0.9000168860286889,0.00303951367781155,26,6,1968,0,32,1.2729429339548877
117,block_id,2000,0.0145,0.8055555555555556,1.0,0.8923076923076924,0.8210727969348659,0.8959322673375348,0.0035514967021816335,29,7,1964,0,36,1.2729429339548877
118,block_id,2000,0.0155,0.8157894736842105,1.0,0.8985507246376812,0.8143912913212823,0.9016037140397941,0.0035551041137633316,31,7,1962,0,38,1.2729429339548877
119,block_id,2000,0.0095,0.7916666666666666,1.0,0.8837209302325582,0.7720105917474338,0.8886329487385172,0.002523977788995457,19,5,1976,0,24,1.2729429339548877
120,block_id,2000,0.012,0.7741935483870968,1.0,0.8727272727272727,0.8197296250381749,0.878322810762631,0.00354251012145749,24,7,1969,0,31,1.2729429339548877
121,block_id,2000,0.019,0.95,1.0,0.9743589743589743,0.92170296430732,0.9741825293073918,0.0010193679918450561,38,2,1960,0,40,1.2729429339548877
122,block_id,2000,0.015,0.8108108108108109,1.0,0.8955223880597015,0.887115972550755,0.898849129258262,0.003553299492385787,30,7,1963,0,37,1.2729429339548877
123,block_id,2000,0.0125,0.6944444444444444,1.0,0.819672131147541,0.7012169312169312,0.831009417878022,0.005569620253164557,25,11,1964,0,36,1.2729429339548877
124,block_id,2000,0.0135,0.9,1.0,0.9473684210526315,0.9214506172839505,0.9479617743324569,0.0015205271160669033,27,3,1970,0,30,1.2729429339548877
